ID;DD;MM;ZZ;PP;DEPTO;MUNICIPIO;NOMBRE_PUESTO;MUJERES;HOMBRES;TOTAL;MESAS;COD.COM;COMUNA/LOCALIDAD;DIRECCION
3314;16;1;12;11;BOGOTA. D.C.;BOGOTA. D.C.;12 DE octubre;344;370;714;2;12;LOCALIDAD 12 BARRIOS UNIDOS;CRA 29C # 71C - 11
2811;16;1;4;28;BOGOTA. D.C.;BOGOTA. D.C.;20 DE JULIO SEDE A;2.697;2.745;5.442;8;4;LOCALIDAD 4 SAN CRISTOBAL;CRA 7A # 24-01 SUR o CLL 25 SUR # 7-76
2885;16;1;6;3;BOGOTA. D.C.;BOGOTA. D.C.;ABRAHAM LINCOLN;142;163;305;1;6;LOCALIDAD 6 TUNJUELITO;CRA 8 No 53 A - 44 SUR
5350;31;1;2;5;VALLE;CALI;ACADEMIA DE DIBUJO PROFESIONAL;493;1.472;1.965;3;2;COMUNA 2;CLL 27 N #6BN-50
5488;31;1;28;4;VALLE;CALI;ACADEMIA JOSE MARIA CABAL;789;898;1.687;3;18;COMUNA 18;CALLE 2C OESTE No. 83 - 20
6215;52;1;14;2;META;VILLAVICENCIO;ACADEMIA MILITAR JOSE ANTONIO PAEZ;714;686;1.400;3;8;COMUNA 8;CLL 24A SUR No 40B-27
3350;16;1;13;23;BOGOTA. D.C.;BOGOTA. D.C.;ACEVEDO TEJADA;359;361;720;2;13;LOCALIDAD 13 TEUSAQUILLO;CRA 32A # 27A-16 CRA 32A # 27A-20
3112;16;1;9;29;BOGOTA. D.C.;BOGOTA. D.C.;ACUNAR;612;578;1.190;2;9;LOCALIDAD 9 FONTIBON;CRA 104 # 13D-35 - CRA 106 # 15A-32
1586;9;1;99;5;CALDAS;MANIZALES;AGROTURISTICO EL TABLAZO;382;395;777;2;16;CORREGIMIENTO 5 CORREDOR AGRO;SEM.SERAFICO S.ANTONIO DE PADUA
1861;11;87;99;2;CAUCA;SUAREZ;AGUA CLARA CANELAR;141;146;287;1;;ESPECIAL: AGUA CLARA CANELAR;ESC. RURAL MIXTA
5901;40;10;99;2;ARAUCA;ARAUQUITA;AGUACHICA;202;230;432;1;;ESPECIAL: AGUACHICA;IE AGUACHICA
5842;31;106;99;26;VALLE;TULUA;AGUACLARA;1.422;1.290;2.712;4;;ESPECIAL: AGUACLARA;I E AGUACLARA SEDE PRINCIPAL
4469;25;1;99;20;NORTE DE SAN;CUCUTA;AGUACLARA;301;288;589;1;14;CORREGIMIENTO SECTOR CENTRAL;CGTO AGUACLARA
2007;12;875;99;20;CESAR;SAN MARTIN;AGUAS BLANCAS;177;197;374;1;;ESPECIAL: AGUAS BLANCAS;ESC. NUESTRA SEÑORA DE LA PAZ
2828;16;1;4;45;BOGOTA. D.C.;BOGOTA. D.C.;AGUAS CLARAS;353;365;718;2;4;LOCALIDAD 4 SAN CRISTOBAL;CLL 14 SUR No 25-05 ESTE
3623;17;7;99;1;CHOCO;BAGADO;AGUASAL;158;128;286;1;;ESPECIAL: AGUASAL;ESCUELA
3099;16;1;9;15;BOGOTA. D.C.;BOGOTA. D.C.;AGUSTINIANO SALITRE;160;180;340;1;9;LOCALIDAD 9 FONTIBON;CLL 23C # 69B - 01
5111;28;190;99;1;SUCRE;SAN JUAN DE BETULIA (BETULIA);ALBANIA;235;267;502;1;;ESPECIAL: ALBANIA;I.E Agropecuaria Albania
4004;21;60;99;33;MAGDALENA;SABANAS DE SAN ANGEL;ALBERTO CABALLERO;202;241;443;1;;ESPECIAL: ALBERTO CABALLERO;I E ALBERTO CABALLERO
3210;16;1;11;5;BOGOTA. D.C.;BOGOTA. D.C.;ALBERTO LLERAS CAMARGO - IED;134;130;264;1;11;LOCALIDAD 11 SUBA;CRA 111A # 139 - 88
3417;16;1;16;21;BOGOTA. D.C.;BOGOTA. D.C.;ALCALA;1.295;1.213;2.508;4;16;LOCALIDAD 16 PUENTE ARANDA;CRA 51 C # 33- 41 SUR
3185;16;1;10;66;BOGOTA. D.C.;BOGOTA. D.C.;ALCALA SEDE B;261;269;530;1;10;LOCALIDAD 10 ENGATIVA;DIAG. 70 No 70-40
3444;16;1;17;2;BOGOTA. D.C.;BOGOTA. D.C.;ALCALDIA MAYOR;7.279;7.702;14.981;22;17;LOCALIDAD 17 CANDELARIA;CRA 8 # 10-65 ENTRE CLL 10 11 y 12
130;1;1;20;2;ANTIOQUIA;MEDELLIN;ALCALDIA MUNICIPAL (SOTANO);829;863;1.692;3;10;COMUNA 10 LA CANDELARIA;CL 44 # 52-165
3401;16;1;16;5;BOGOTA. D.C.;BOGOTA. D.C.;ALCALDIA PUENTE ARANDA;225;201;426;1;16;LOCALIDAD 16 PUENTE ARANDA;CRA 31 D # 04 - 43
3459;16;1;18;10;BOGOTA. D.C.;BOGOTA. D.C.;ALCALDIA QUIROGA;7.054;7.259;14.313;21;18;LOCALIDAD 18 RAFAEL URIBE URIB;CL 32 SUR # 22-30
6010;46;1;99;3;CASANARE;YOPAL;ALCARAVAN LA NIATA;110;123;233;1;8;ALCARAVAN LA NIATA;ESC. LA NIATA
4462;25;1;10;4;NORTE DE SAN;CUCUTA;ALEJANDRO GUTIERREZ SD SAN JUAN BOSCO;473;452;925;2;10;COMUNA 10 SUR;CL. 22A #. 22-80 BARRIO GAITAN
2695;16;1;1;22;BOGOTA. D.C.;BOGOTA. D.C.;ALESSANDRO VOLTA;1.287;1.265;2.552;4;1;LOCALIDAD 1 USAQUEN;CLL 119 No 4-79
2868;16;1;5;30;BOGOTA. D.C.;BOGOTA. D.C.;ALFONSO LOPEZ;2.587;2.561;5.148;8;5;LOCALIDAD 5 USME;CRA7C ESTE#92-48SUR CRA7C ESTE#90A-35SUR
2961;16;1;7;50;BOGOTA. D.C.;BOGOTA. D.C.;ALFREDO NOBEL;995;1.021;2.016;3;7;LOCALIDAD 7 BOSA;TV 80B No 65I-25 SUR
3492;16;1;18;50;BOGOTA. D.C.;BOGOTA. D.C.;ALIANZA QUIROGA;1.036;1.087;2.123;4;18;LOCALIDAD 18 RAFAEL URIBE URIB;CRA 23 No 35-20 SUR
3259;16;1;11;58;BOGOTA. D.C.;BOGOTA. D.C.;ALMACEN EXITO LA COLINA;2.786;2.653;5.439;8;11;LOCALIDAD 11 SUBA;AV CLL 147 # 58C-91 o AV CLL 147 CON AV CRA 72
3179;16;1;10;58;BOGOTA. D.C.;BOGOTA. D.C.;ALMAZAN ENGATIVA;3.473;3.575;7.048;11;10;LOCALIDAD 10 ENGATIVA;TV 113 # 66 - 95
2844;16;1;5;6;BOGOTA. D.C.;BOGOTA. D.C.;ALMIRANTE PADILLA;136;108;244;1;5;LOCALIDAD 5 USME;CLL 76A SUR#8 D 59 CLL 76A SUR # 8 D 25
3416;16;1;16;20;BOGOTA. D.C.;BOGOTA. D.C.;ALQUERIA;507;496;1.003;2;16;LOCALIDAD 16 PUENTE ARANDA;CLL 40 B SUR # 52C- 60
4320;24;1;99;5;RISARALDA;PEREIRA;ALTAGRACIA;522;529;1.051;2;20;CORREGIMIENTO ALTAGRACIA;IE MARIA CRISTINA GOMEZ
2800;16;1;4;17;BOGOTA. D.C.;BOGOTA. D.C.;ALTAMIRA;922;954;1.876;3;4;LOCALIDAD 4 SAN CRISTOBAL;CLL 42 A SUR # 12 A-27 ESTE
4098;23;16;99;1;NARIÑO;BARBACOAS;ALTAQUER;15;10;25;1;;ESPECIAL: ALTAQUER;POLIDEPORTIVO ALTAQUER
6234;52;1;99;40;META;VILLAVICENCIO;ALTO DE POMPEYA;232;243;475;1;14;CORREGIMIENTO 4;POLIDEPORTIVO JAC ALTO DE POMPEYA
6280;52;43;99;83;META;PUERTO GAITAN;ALTO UNUMA;212;224;436;1;;ESPECIAL: ALTO UNUMA;I.E. BOPONE PANORAMA RESGUARDO INDIGENA UNUMA
3532;16;1;19;34;BOGOTA. D.C.;BOGOTA. D.C.;ALTOS DE JALISCO;115;122;237;1;19;LOCALIDAD 19 CIUDAD BOLIVAR;CRA 18 K BIS # 61B-52 SUR
3555;16;1;19;57;BOGOTA. D.C.;BOGOTA. D.C.;ALTOS DE LA ESTANCIA;955;981;1.936;3;19;LOCALIDAD 19 CIUDAD BOLIVAR;CRA 77C No 59A-15 SUR
3233;16;1;11;31;BOGOTA. D.C.;BOGOTA. D.C.;ALVARO GOMEZ HURTADO SEDE A - IED;320;318;638;1;11;LOCALIDAD 11 SUBA;CRA 100A # 130 - 18
3291;16;1;11;90;BOGOTA. D.C.;BOGOTA. D.C.;ALVARO GOMEZ HURTADO SEDE B - IED;810;759;1.569;3;11;LOCALIDAD 11 SUBA;CLL 133 # 98B - 24
5774;31;79;99;41;VALLE;PALMIRA;AMAIME;370;355;725;2;12;COMUNA 12;ESC. VASCO NUÑEZ DE BALBOA
1839;11;76;2;5;CAUCA;SANTANDER DE QUILICHAO;ANA JOSEFA MORALES DUQUE;386;408;794;2;;ESPECIAL: ANA JOSEFA MORALES DUQUE;CRA 25 No 5 - 200
5237;29;22;99;1;TOLIMA;CAJAMARCA;ANAIME;131;153;284;1;;ESPECIAL: ANAIME;ESC. MIXTA RURAL ANAIME
3587;17;1;1;7;CHOCO;QUIBDO;ANEXA IE PEDRO GRAU Y AROLA B. OBRERO;6.613;6.578;13.191;19;1;COMUNA 1;BARRIO OBRERO
4078;23;1;99;8;NARIÑO;PASTO;ANGANOY;622;574;1.196;2;15;CORREGIMIENTO 3 MAPACHICO;ANGANOY
2718;16;1;1;45;BOGOTA. D.C.;BOGOTA. D.C.;ANGLO AMERICANO;534;456;990;2;1;LOCALIDAD 1 USAQUEN;CLL 170 No 8-80/70
485;1;133;1;2;ANTIOQUIA;GIRARDOTA;ANTIGUA ESCUELA COLOMBIA;1.182;1.238;2.420;4;;ESPECIAL: ANTIGUA ESCUELA COLOMBIA;CL 5 A #14 A 62
1589;9;7;1;2;CALDAS;ANSERMA;ANTIGUA SEDE UNIVALLE;554;580;1.134;2;;ESPECIAL: ANTIGUA SEDE UNIVALLE;KR 5 #12-09
1521;9;1;2;4;CALDAS;MANIZALES;ANTIGUO CISCO SAN JOSE;109;112;221;1;2;COMUNA 2 SAN JOSE;CLL 30 15 57
2734;16;1;2;4;BOGOTA. D.C.;BOGOTA. D.C.;ANTIGUO COUNTRY PLAZOLETA CARULLA;257;295;552;1;2;LOCALIDAD 2 CHAPINERO;CRA. 15 CON CLL. 85 ESQUINA
1522;9;1;3;1;CALDAS;MANIZALES;ANTIGUO TERMINAL DE TRANS PEOPLECONTACT;525;530;1.055;2;3;COMUNA 3 CUMANDAY;AV 19 15 04
1382;7;79;1;2;BOYACA;DUITAMA;ANTIGUO TERMINAL DE TRANSPORTE;326;339;665;1;1;COMUNA 1;CRA 18 ENTRE CLL 17 Y 18
3371;16;1;14;14;BOGOTA. D.C.;BOGOTA. D.C.;ANTONIO RICAURTE;302;378;680;1;14;LOCALIDAD 14 MARTIRES;CRA 26 # 7-41
3611;17;6;99;2;CHOCO;ALTO BAUDO (PIE DE PATO);APARTADO;35;24;59;1;;ESPECIAL: APARTADO;ESCUELA RURAL MIXTA ATANASIO GIRARDOT
6236;52;1;99;71;META;VILLAVICENCIO;APIAY;428;603;1.031;2;17;CORREGIMIENTO 7;IE APIAY SEDE PRINCIPAL.
4140;23;43;99;1;NARIÑO;EL TABLON;APONTE;196;200;396;1;;ESPECIAL: APONTE;BARRIO CARLOS TAMAVIOY
4323;24;1;99;34;RISARALDA;PEREIRA;ARABIA;325;303;628;1;24;CORREGIMIENTO ARABIA;CRA 3 # 3-17 IE SAN FRANCISCO DE ASIS
2110;13;16;99;1;CORDOBA;CHIMA;ARACHE;250;218;468;1;;ESPECIAL: ARACHE;ARACHE
5976;44;22;99;25;CAQUETA;SOLANO;ARARACUARA;22;33;55;1;;ESPECIAL: ARARACUARA;I.E. FRAY JAVIER DE BARCELONA
1631;9;85;99;1;CALDAS;PENSILVANIA;ARBOLEDA;92;77;169;1;;ESPECIAL: ARBOLEDA;COL. PABLO VI-CGTO. ARBOLEDA
2810;16;1;4;27;BOGOTA. D.C.;BOGOTA. D.C.;ARBOLEDA SUR;175;200;375;1;4;LOCALIDAD 4 SAN CRISTOBAL;CRA 9 A # 14-04 SUR
1791;11;46;99;5;CAUCA;MERCADERES;ARBOLEDAS;63;56;119;1;;ESPECIAL: ARBOLEDAS;I.E. AGROPECUARIA ARBOLEDAS
3511;16;1;19;13;BOGOTA. D.C.;BOGOTA. D.C.;ARBORIZADORA BAJA;1.565;1.599;3.164;5;19;LOCALIDAD 19 CIUDAD BOLIVAR;CLL 59 SUR #44A-09 CLL 59 I SUR #44A-02
3559;16;1;19;61;BOGOTA. D.C.;BOGOTA. D.C.;ARBORIZADORA BAJA SALON COMUNAL;970;984;1.954;3;19;LOCALIDAD 19 CIUDAD BOLIVAR;CLL 59 A SUR No 42-20
3446;16;1;17;4;BOGOTA. D.C.;BOGOTA. D.C.;ARCHIVO DISTRITAL;561;590;1.151;2;17;LOCALIDAD 17 CANDELARIA;CLL 6 B # 5-75
6123;48;11;99;15;LA GUAJIRA;MANAURE;AREMASAIN;661;538;1.199;2;;ESPECIAL: AREMASAIN;IE NUESTRA SEÑORA DE FATIMA
2163;13;28;99;1;CORDOBA;PLANETA RICA;ARENOSO;202;206;408;1;;ESPECIAL: ARENOSO;C.E. ARENOSO
6372;64;26;99;2;PUTUMAYO;PUERTO CAICEDO;ARIZONA;91;91;182;1;;ESPECIAL: ARIZONA;INSTITUCION EDUCATIVA RURAL ARIZONA
1953;12;170;99;10;CESAR;ASTREA;ARJONA;313;250;563;1;;ESPECIAL: ARJONA;CLL 5 No 5-55 IE LUIS CARLOS GALAN SARMIENTO
1269;5;59;99;1;BOLIVAR;PINILLOS;ARMENIA;229;243;472;1;;ESPECIAL: ARMENIA;I.E ARMENIA CALLE SEGUNDA(SECTOR CENTRO)
1174;5;1;99;25;BOLIVAR;CARTAGENA;ARROYO DE PIEDRA;251;218;469;1;2;LOC. 2 LA VIRGEN Y TURISTICA;IE ARROYO DE PIEDRA
3675;17;31;99;1;CHOCO;NUQUI;ARUSI;36;40;76;1;;ESPECIAL: ARUSI;C.E. POSPRIMARIA DE PUNTA DE ARUSI
5357;31;1;4;1;VALLE;CALI;ASAMBLEA DEPARTAMENTAL;599;607;1.206;2;3;COMUNA 3;CL9 #8-60 EDIF. SAN LUIS
4496;25;38;99;2;NORTE DE SAN;EL ZULIA;ASTILLEROS;369;305;674;1;;ESPECIAL: ASTILLEROS;BIBLIOTECA LA ALEGRIA DEL SABER
3109;16;1;9;26;BOGOTA. D.C.;BOGOTA. D.C.;ATAHUALPA;2.006;2.120;4.126;6;9;LOCALIDAD 9 FONTIBON;AV CRA 116 # 22I - 56
2937;16;1;7;26;BOGOTA. D.C.;BOGOTA. D.C.;ATALAYAS;1.272;1.179;2.451;4;7;LOCALIDAD 7 BOSA;CLL 59 C SUR No 89 B-45 - Calle 61 Sur No. 103-33
486;1;133;2;1;ANTIOQUIA;GIRARDOTA;ATANASIO GIRARDOTA ESCUELITA LA NUEVA;436;2.218;2.654;4;;ESPECIAL: ATANASIO GIRARDOTA ESCUELITA LA NUEVA;CRA 17A No 12A-63
633;1;214;99;B2;ANTIOQUIA;RIONEGRO;AUDITORIO AEROPUERTO CORR. J.M.C.;374;459;833;2;6;CTO JOSE MARIA CORDOVA M;CGTO JOSE MARIA CORDOVA M VDA SAJONIA AEROPUERTO
1322;7;1;1;5;BOYACA;TUNJA;AUDITORIO GUSTAVO M CASTELLANOS COMFABOY;3.774;3.884;7.658;12;;ESPECIAL: AUDITORIO GUSTAVO M CASTELLANOS COMFABOY;CRA 10 # 16 - 81
