"id_c","name_com","id_mun"
"4","CORREGIMIENTO SANTA ANA","53"
"7","CORREGIMIENTO DEL SUR","85"
"21","LOCALIDAD 1 AGRICOLA Y PORTUAR","113"
"23","CTO NORTE NESTOR E. SANINT ALV","85"
"42","CORREGIMIENTO SANTA BARBARA","922"
"44","LOCALIDAD NO.3 SUR ORIENTE","126"
"45","LOCALIDAD NO.1 SUR OCCIDENTE","126"
"46","LOCALIDAD 2 METROPOLITANA","126"
"47","LOCALIDAD NO.4 NORTE CENTRO HI","126"
"48","LOCALIDAD NO.5 RIOMAR","126"
"49","LOCALIDAD 1 USAQUEN","542"
"50","LOCALIDAD 4 SAN CRISTOBAL","542"
"51","LOCALIDAD 18 RAFAEL URIBE URIB","542"
"52","LOCALIDAD 11 SUBA","542"
"53","LOCALIDAD 17 CANDELARIA","542"
"54","LOCALIDAD 3 SANTA FE","542"
"55","LOCALIDAD 19 CIUDAD BOLIVAR","542"
"56","LOCALIDAD 16 PUENTE ARANDA","542"
"57","LOCALIDAD 2 CHAPINERO","542"
"58","LOCALIDAD 9 FONTIBON","542"
"59","LOCALIDAD 12 BARRIOS UNIDOS","542"
"60","LOCALIDAD 5 USME","542"
"61","LOCALIDAD 10 ENGATIVA","542"
"62","LOCALIDAD 15 ANTONIO NARIÑO","542"
"63","LOCALIDAD 14 MARTIRES","542"
"64","LOCALIDAD 13 TEUSAQUILLO","542"
"65","LOCALIDAD 7 BOSA","542"
"66","LOCALIDAD 6 TUNJUELITO","542"
"67","LOCALIDAD 20 SUMAPAZ","542"
"68","LOCALIDAD  8 KENNEDY","542"
"71","LOC. 2  LA VIRGEN Y TURISTICA","148"
"72","LOC.3 INDUSTRIAL DE LA BAHIA","148"
"73","LOC. 1 HISTORICA Y DEL CARIBE","148"
"74","CORREGIMIENTO 1","223"
"75","CORREGIMIENTO 5 CORREDOR  AGRO","314"
"84","CORREGIMIENTO 4 PANORAMA","314"
"85","CORREGIMIENTO EL CARANO","350"
"86","CORREGIMIENTO SANTO DOMINGO","350"
"87","CORREGIMIENTO SAN MARTIN","350"
"88","CORREGIMIENTO VENECIA","350"
"90","CORREGIMIENTO ORTEGUAZA","350"
"92","CIUDADELA LLANO LINDO","942"
"94","MORICHAL","942"
"96","CORREGIMIENTO EL CUSIANA","957"
"97","TILODIRAN","942"
"99","ALCARAVAN LA NIATA","942"
"101","CORREGIMIENTO 19","341"
"103","CORREGIMIENTO 3","541"
"104","CORREGIMIENTO 2","541"
"105","SUR","466"
"111","NORTE","466"
"112","CORREGIMIENTO ORIENTAL","461"
"113","CORREGIMIENTO OCCIDENTAL","461"
"114","CORREGIMIENTO SUR ORIENTAL","461"
"115","ORIENTE","466"
"116","CENTRO","466"
"117","OCCIDENTE","466"
"118","CORREGIMIENTO CHARRAS-BOQUERON","1004"
"123","CORREGIMIENTO CAGUAN","572"
"124","CORREGIMIENTO RIO LAS CEIBAS","572"
"125","CORR VILLA MARTIN (MACHOBACHO)","959"
"131","CORREGIMIENTO  CAMARONES","959"
"134","LOC.1TAYRONA S.PEDRO ALEJANDR","606"
"135","LOC.2HIST.RODRIGO DE BASTIDAS","606"
"136","LOC.3TURISTICA PERLA DEL CARIB","606"
"140","CORREGIMIENTO 15 SAN FERNANDO","634"
"141","CORREGIMIENTO 5 OBONUCO","634"
"142","CORREGIMIENTO 3 MAPACHICO","634"
"143","CORREGIMIENTO 7 LA LAGUNA","634"
"144","CORREGIMIENTO 17 EL SOCORRO","634"
"145","CORREGIMIENTO 14 JONGOVITO","634"
"146","CORREGIMIENTO 13 MOCONDINO","634"
"150","CORREG SECTOR OCCIDENTAL","701"
"151","CORREGIMIENTO SECTOR SUR","701"
"155","CORREGIMIENTO SECTOR CENTRAL","701"
"156","CORREG SECTOR NOROCCIDENTAL","701"
"161","CORREGIMIENTO CERRITOS","689"
"166","CORREGIMIENTO CAIMALITO","689"
"167","COR. PUERTO CALDAS(PUENTE BOL)","689"
"169","CORREGIMIENTO EL LLANITO","752"
"178","CORREGIMIENTO 8 VILLA RESTREPO","841"
"181","CORREGIMIENTO 5 TAPIAS","841"
"182","CORREGIMIENTO 10 CALAMBEO","841"
"183","CORREGIMIENTO 14 BUENOS AIRES","841"
"184","CORREGIMIENTO TIERRADENTRO","865"
"188","CORREGIMIENTO HORMIGUERO","886"
"189","CORREGIMIENTO LA LEONERA","886"
"190","CORREGIMIENTO LA PAZ","886"
"196","CORREGIMIENTO FELIDIA","886"
"197","CORREGIMIENTO LA BUITRERA","886"
"198","CORREGIMIENTO GOLONDRINAS","886"
"199","CORREGIMIENTO NAVARRO","886"
"200","CORREGIMIENTO PANCE","886"
"201","CORREGIMIENTO PICHINDE","886"
"202","LOCALIDAD 2 CONT. (EL PAILON)","890"
"203","LOCALIDAD 1 ISLA CASCAJAL","890"
"204","PUESTO CENSO(FERIA EXPOSICION)","542"
"205","PENITENCIARIA LA PICOTA","542"
"206","CARCEL DISTRITAL JUDICIAL MODELO","542"
"207","RECLUSION DE MUJERES EL BUEN PASTOR","542"
"208","CARCEL DISTRITAL","542"
"209","CORREGIMIENTO EL CARANO","1102"
"210","CORREGIMIENTO SANTO DOMINGO","1102"
"211","CORREGIMIENTO SAN MARTIN","1102"
"212","CORREGIMIENTO VENECIA","1102"
"214","CORREGIMIENTO ORTEGUAZA","1102"
